,0
172,"(173, 1483, 'pulseaudio', Decimal('0.000'), Decimal('0.480'), datetime.datetime(2022, 11, 23, 14, 34, 44, 907000))"
173,"(174, 1484, 'lxsession', Decimal('0.000'), Decimal('0.350'), datetime.datetime(2022, 11, 23, 14, 34, 44, 917000))"
174,"(175, 1485, 'Xorg', Decimal('0.000'), Decimal('1.900'), datetime.datetime(2022, 11, 23, 14, 34, 44, 927000))"
175,"(176, 1489, 'dbus-daemon', Decimal('0.000'), Decimal('0.130'), datetime.datetime(2022, 11, 23, 14, 34, 44, 940000))"
176,"(177, 1495, 'xrdp-chansrv', Decimal('0.000'), Decimal('0.140'), datetime.datetime(2022, 11, 23, 14, 34, 44, 950000))"
177,"(178, 1574, 'ssh-agent', Decimal('0.000'), Decimal('0.030'), datetime.datetime(2022, 11, 23, 14, 34, 44, 960000))"
178,"(179, 1591, 'ibus-daemon', Decimal('0.000'), Decimal('0.200'), datetime.datetime(2022, 11, 23, 14, 34, 44, 970000))"
179,"(180, 1598, 'gvfsd', Decimal('0.000'), Decimal('0.210'), datetime.datetime(2022, 11, 23, 14, 34, 44, 987000))"
180,"(181, 1605, 'gvfsd-fuse', Decimal('0.000'), Decimal('0.170'), datetime.datetime(2022, 11, 23, 14, 34, 44, 997000))"
181,"(182, 1607, 'ibus-dconf', Decimal('0.000'), Decimal('0.190'), datetime.datetime(2022, 11, 23, 14, 34, 45, 7000))"
182,"(183, 1608, 'ibus-ui-gtk3', Decimal('0.000'), Decimal('1.840'), datetime.datetime(2022, 11, 23, 14, 34, 45, 20000))"
183,"(184, 1611, 'ibus-extension-gtk3', Decimal('0.000'), Decimal('1.750'), datetime.datetime(2022, 11, 23, 14, 34, 45, 30000))"
184,"(185, 1617, 'openbox', Decimal('0.000'), Decimal('0.510'), datetime.datetime(2022, 11, 23, 14, 34, 45, 40000))"
185,"(186, 1620, 'ibus-x11', Decimal('0.000'), Decimal('1.540'), datetime.datetime(2022, 11, 23, 14, 34, 45, 53000))"
